site	time	date	filename	type	sample	plant	observer	bag	pump	end	equil	pumping	flowers	buds	pump_id	VWC	per	biomass_g	notes	row
Ihyb	D	2019-08-02		floral	25	25	JN	10:07	10:37	10:52	0:30	0:15	1	0	DRC10	12.8		0.00661	pink	86
Ihyb	D	2019-08-02		floral	24	24	JN	10:15	10:45	11:00	0:30	0:15	1	1	DRC8	6.9		0.00664		85
Ihyb	D	2019-08-02		ambient	airJN		JN	10:25	10:55	11:10	0:30	0:15			DRC11					93
Ihyb	D	2019-08-02		floral	26	26	JN	10:48	11:18	11:33	0:30	0:15	1	0	DRC8	11.5		0.00620	purple	87
Ihyb	D	2019-08-02		floral	27	27	JN	11:05	11:35	11:50	0:30	0:15	1	0	DRC8	7.3		0.00642		88
Ihyb	D	2019-08-02		floral	28	28	JN	11:11	11:41	11:56	0:30	0:15	1	0	DRC9	16.4		0.00487		89
Ihyb	D	2019-08-02		floral	1	1	JN	11:21	11:51	12:06	0:30	0:15	1	0	DRC10	10.8		0.00744		68
Ihyb	D	2019-08-02		floral	2	2	JN	11:30	12:00	12:15	0:30	0:15	1	0	DRC9	11.9		0.00471		69
Ihyb	D	2019-08-02		floral	29	29	JN	12:05	12:35	12:50	0:30	0:15	1	0	DRC9	4.4		0.00428		90
Ihyb	D	2019-08-02		floral	30	30	JN	12:10	12:40	12:55	0:30	0:15	1	0	DRC8	10.2		0.00602		91
Ihyb	D	2019-08-02		ambient	airKW		KW	10:13	10:43	10:58	0:30	0:15			JMP3					94
Ihyb	D	2019-08-02		floral	9	9	KW	10:18	10:48	11:03	0:30	0:15	1	0	JMP2	11.9		0.00362	pink	75
Ihyb	D	2019-08-02		floral	10	10	KW	10:29	10:59	11:14	0:30	0:15	1	0	JMP3	5.4		0.00795	purple	76
Ihyb	D	2019-08-02		floral	23	23	KW	10:48	11:18	11:33	0:30	0:15	1	0	JMP2	10.9		0.00400		84
Ihyb	D	2019-08-02		floral	8	8	KW	10:56	11:26	11:41	0:30	0:15	1	0	JMP3	12.1		0.00441	pink	74
Ihyb	D	2019-08-02		floral	6	6	KW	11:25	11:55	12:10	0:30	0:15	1	1	JMP2	12.6		0.00676		72
Ihyb	D	2019-08-02		floral	20	20	KW	11:32	12:02	12:17	0:30	0:15	1	0	JMP3	6.1		0.00543	candy cane	81
Ihyb	D	2019-08-02		floral	32	32	KW	11:50	12:20	12:35	0:30	0:15	1	0	JMP2	10.6		0.00496		92
Ihyb	D	2019-08-02		floral	4	4	KW	12:00	12:30	12:45	0:30	0:15	1	0	JMP3	5.5		0.01006		70
Ihyb	D	2019-08-02		ambient	airKW2		KW	12:15	12:45	13:00	0:30	0:15			JMP2					95
Ihyb	D	2019-08-02		floral	11	11	KW	12:24	12:54	13:11	0:30	0:17	1	0	JMP3	4.8		0.00304		77
Ihyb	D	2019-08-02		floral	19	19	LS	10:13	10:43	10:58	0:30	0:15	1	0	DRC3	10.6		0.00686		80
