site	time	observer	date	type	sample	plant	bag	pump	end	equil	pumping	flowers	buds	pump_id	VWC	notes
VF	D	ST	2020-07-17	floral	16	124	9:08	9:38	9:53	0:30	0:15	1	0	7	9.5	
VF	D	ST	2020-07-17	floral	7	56	9:11	9:41	9:56	0:30	0:15	1	0	5	5.8	
VF	D	ST	2020-07-17	floral	14	122	9:13	9:43	9:59	0:30	0:16	1	0	3	5.9	
VF	D	ST	2020-07-17	floral	13	121	9:28	9:58	10:13	0:30	0:15	1	0	7	5.9	
VF	D	ST	2020-07-17	floral	11	119	9:33	10:03	10:18	0:30	0:15	1	0	5	6.2	
VF	D	ST	2020-07-17	floral	5	82	9:36	10:06	10:21	0:30	0:15	1	0	3	3.5	
VF	D	ST	2020-07-17	floral	22	2032	9:50	10:20	10:35	0:30	0:15	1	0	7	5.3	
VF	D	ST	2020-07-17	ambient	air		10:00	10:30	10:45	0:30	0:15			5		ST control
VF	D	JP	2020-07-17	floral	17	125	9:10	9:42	9:57	0:32	0:15	1	0		4.5	
VF	D	JP	2020-07-17	floral	4	129	9:13	9:45	10:00	0:32	0:15	1	0			too rocky for VWC
VF	D	JP	2020-07-17	floral	3	32	9:14	9:48	10:03	0:34	0:15	1	0	1	11.8	
VF	D	JP	2020-07-17	floral	21	129	9:34	10:06	10:21	0:32	0:15	1	0	8	2.9	
VF	D	JP	2020-07-17	floral	9	117	9:36	10:08	10:23	0:32	0:15	1	0	1	2.8	
VF	D	JP	2020-07-17	floral	10	118	9:38	10:10	10:25	0:32	0:15	1	0	9	4.1	
VF	D	JP	2020-07-17	floral	6	75	9:55	10:27	10:42	0:32	0:15	1	0	9	7	
VF	D	JP	2020-07-17	ambient	air		9:56	10:31	10:46	0:35	0:15			8		
Ihyb	N	JP	2020-07-15	floral	25		20:04	20:34	20:53	0:30	0:19	1	0	3		JP: missing plant number
Ihyb	N	JP	2020-07-15	floral	26	384	20:06	20:40	20:55	0:34	0:15	1	0	8		rocky
Ihyb	N	JP	2020-07-15	floral		2217	20:07	20:43	20:58	0:36	0:15	1	0	1		rocky
Ihyb	N	JP	2020-07-15	floral	13	397	20:49	21:27	21:42	0:38	0:15	1	0	8		JP: changed all 2020-07-16 to 2020-07-15 per google calendar Ihyb N
Ihyb	N	JP	2020-07-15	floral	7	2228	20:51	21:31	21:46	0:40	0:15	1	0			
Ihyb	N	JP	2020-07-15	floral	12	398	20:52	21:35	21:50	0:43	0:15	1	0			
Ihyb	N	JP	2020-07-15	floral	14	396	21:14	21:46	22:01	0:32	0:15	1	0			
Ihyb	N	JP	2020-07-15	floral	16	394	21:16	21:48	22:03	0:32	0:15	1	0			
Ihyb	N	JP	2020-07-15	floral	15	395	21:19	21:54	22:09	0:35	0:15	1	0			pump died
Ihyb	N	JP	2020-07-15	ambient	air		21:36	22:06	22:21	0:30	0:15					
Ihyb	N	ST	2020-07-15	floral	27	383	20:04	20:34	20:49	0:30	0:15	1	0	9	1.6	
Ihyb	N	ST	2020-07-15	floral	28	382	20:06	20:36	20:51	0:30	0:15	1	0	7	2	
Ihyb	N	ST	2020-07-15	floral	20	390	20:10	20:40	20:55	0:30	0:15	1	0	5	1.6	
Ihyb	N	ST	2020-07-15	floral	21	389	20:44	21:14	21:29	0:30	0:15	1	0	9	4.1	
Ihyb	N	ST	2020-07-15	floral	23	387	20:46	21:16	21:31	0:30	0:15	1	0	7	2.7	
Ihyb	N	ST	2020-07-15	floral	5		20:58	21:28	21:43	0:30	0:15	1	0	5		JP: missing plant number
Ihyb	N	ST	2020-07-15	floral	6		21:12	21:42	21:57	0:30	0:15	1	0	9		JP: missing plant number
Ihyb	N	ST	2020-07-15	ambient	air		21:18	21:48	22:03	0:30	0:15			7		
Ihyb	N	ST	2020-07-15	floral		381	21:39	22:01	22:16	0:22	0:15	1	0	5	3.9	
Ihyb	N	ST	2020-07-15	floral		2283	21:51	22:21	22:36	0:30	0:15	1	0	9		rocky
Ihyb	N	XL	2020-07-15	floral	10	2200	20:04	20:34	20:49	0:30	0:15	1	0	10	1.8	
Ihyb	N	XL	2020-07-15	floral		400	20:08	20:40	20:55	0:32	0:15	1	0	6	3.6	
Ihyb	N	XL	2020-07-15	floral		399	20:44	21:14	21:39	0:30	0:25	1	0	10		
Ihyb	N	XL	2020-07-15	floral	19		20:48	21:18	21:42	0:30	0:24	1	0	6		JP: missing plant number
