site	time	observer	date	type	sample	plant	replicate	bag	pump	end	equil	pumping	flowers	buds	pump_id	VWC	treatment	notes
Ihyb	N	JP	2022-07-11	floral	799A	799	A	21:03	21:31	21:47	0:28	0:16	1	0	DRC5		nitrogen	Too rocky
Ihyb	N	JP	2022-07-11	floral	506A	506	A	20:48	20:58	21:13	0:10	0:15	1	0	DRC5	5.5	ambient	
Ihyb	N	JP	2022-07-11	floral	503A	503	A	20:30	21:00	21:15	0:30	0:15	1	1	DRC4		ambient	Too rocky
Ihyb	N	JP	2022-07-11	floral	717A	717	A	21:06	21:37	21:52	0:31	0:15	1	0	DRC4	6.5	water control	
Ihyb	N	JP	2022-07-11	floral	797A	797	A	21:25	21:55	22:12	0:30	0:17	1	0	DRC5	5.1	nitrogen	
Ihyb	N	JP	2022-07-11	floral	798A	798	A	21:27	21:58	22:14	0:31	0:16	1	0	DRC4	7.6	ambient	
Ihyb	N	JP	2022-07-11	floral	706A	706	A	21:44	22:20	22:35	0:36	0:15	1	0	DRC5	4.8	nitrogen	
Ihyb	N	JP	2022-07-11	ambient	airJP			21:46	22:23	22:38	0:37	0:15			DRC4			
Ihyb	N	JP	2022-07-11	floral	530A	530	A	22:04	22:43	22:58	0:39	0:15	1	0	DRC4	6.2	ambient	
Ihyb	N	JP	2022-07-11	floral	732A	732	A	22:05	22:43	22:58	0:38	0:15	1	0	DRC5		water control	Too rocky
Ihyb	N	JP	2022-07-11	floral	797B	797	B	22:29	23:05	23:20	0:36	0:15	1	0	DRC5	5.1	nitrogen	
Ihyb	N	JP	2022-07-11	floral	798B	798	B	22:30	23:06	23:21	0:36	0:15	1	0	DRC4	7.6	ambient	
Ihyb	D	JP	2022-07-12	floral	732	732		8:35	9:06	9:22	0:31	0:16	1	0	DRC10	4.4	water control	soil probe not fully inserted
Ihyb	D	JP	2022-07-12	floral	530	530		8:36	9:08	9:23	0:32	0:15	1	0	DRC9	4.9	ambient	soil probe not fully inserted
Ihyb	D	JP	2022-07-12	ambient	airJPA		A	8:41	9:11	9:27	0:30	0:16			DRC8			popped out at 9:23
Ihyb	D	JP	2022-07-12	floral	797	797		8:52	9:37	9:52	0:45	0:15	1	0	DRC8	5.6	nitrogen	
Ihyb	D	JP	2022-07-12	floral	798	798		8:54	9:29	9:44	0:35	0:15	1	0	DRC10	8.2	ambient	
Ihyb	D	JP	2022-07-12	floral	705	705		8:57	9:31	9:46	0:34	0:15	1	0	DRC9		water control	too rocky; popped out after 1 min
Ihyb	D	JP	2022-07-12	floral	719	719		9:20	9:50	10:05	0:30	0:15	1	0	DRC9		nitrogen	too rocky; popped out at 10:05
Ihyb	D	JP	2022-07-12	floral	706	706		9:21	9:51	10:06	0:30	0:15	1	0	DRC10	5.2	nitrogen	
Ihyb	D	JP	2022-07-12	floral	707	707		9:44	10:16	10:31	0:32	0:15	1	0	DRC9	7.2	water control	
Ihyb	D	JP	2022-07-12	ambient	airJPB		B	10:12	10:43	11:00	0:31	0:17			DRC9			
Ihyb	D	JP	2022-07-12	ambient	airJPC		C	10:12	10:43	11:00	0:31	0:17			DRC10			
Ihyb	D	JP	2022-07-12	ambient	airJPD		D	10:19	10:45	11:00	0:26	0:15			DRC8			
Ihyb	D	JP	2022-07-12	ambient	airJPE		E	10:19	10:45	11:00	0:26	0:15			DRC3			
Ihyb	N	JK	2022-07-11	floral	712	712		20:40	21:10	21:25	0:30	0:15	1	2	DRC3	4.6	water control	
Ihyb	N	JK	2022-07-11	floral	314	314		21:17	21:54	22:09	0:37	0:15	1	3	DRC3		ambient	too rocky; JP: pump time was 21:34
Ihyb	N	JK	2022-07-11	floral	510	510		21:40	22:21	22:36	0:41	0:15	1	1	DRC3	5.6	ambient	
Ihyb	N	JK	2022-07-11	floral	712B	712	B	22:30	23:00	23:15	0:30	0:15	1	2	DRC3	4.6	water control	JP added B
Ihyb	D	JK	2022-07-12	floral	713	713		9:00	9:30	9:45	0:30	0:15	1	5	DRC3		water control	too rocky; JP changed date 7/11>7/12
Ihyb	D	JK	2022-07-12	floral	712	712		9:37	10:07	10:22	0:30	0:15	1	2	DRC3	4.4	water control	JP changed date 7/11>7/12
Ihyb	D	JK	2022-07-12	floral	799	799		9:57	10:27	10:42	0:30	0:15	1	1	DRC3		nitrogen	too rocky; JP changed date 7/11>7/12
Ihyb	N	DH	2022-07-11	floral	718A	718	A	20:29	20:59	21:14	0:30	0:15	1	3	DRC8	8.6	nitrogen	
Ihyb	N	DH	2022-07-11	floral	721A	721	A	20:31	21:02	21:17	0:31	0:15	1	0	DRC9	2.7	water control	
Ihyb	N	DH	2022-07-11	floral	509A	509	A	20:33	21:04	21:19	0:31	0:15	1	0	DRC10	10.2	ambient	
Ihyb	N	DH	2022-07-11	floral	737A	737	A	21:09	21:42	21:57	0:33	0:15	1	0	DRC8	6.2	water control	
Ihyb	N	DH	2022-07-11	floral	101A	101	A	21:11	21:45	22:01	0:34	0:16	1	0	DRC9	5.8	ambient	
Ihyb	N	DH	2022-07-11	ambient	airDH			21:22	21:54	22:11	0:32	0:17			DRC10			
Ihyb	N	DH	2022-07-11	floral	707A	707	A	21:48	22:19	22:34	0:31	0:15	1	0	DRC9	3.9	water control	
Ihyb	N	DH	2022-07-11	floral	731A	731	A	21:51	22:22	22:37	0:31	0:15	1	0	DRC8	11.4	nitrogen	
Ihyb	N	DH	2022-07-11	floral	729A	729	A	22:01	22:31	22:46	0:30	0:15	1	0	DRC10	4.9	nitrogen	
Ihyb	N	DH	2022-07-11	floral	701A	701	A	22:09	22:41	22:56	0:32	0:15	1	0	DRC9	8.5	nitrogen	
Ihyb	N	DH	2022-07-11	floral	718B	718	B	22:26	22:56	23:11	0:30	0:15	1	0	DRC8	8.6	nitrogen	
Ihyb	N	DH	2022-07-11	floral	721B	721	B	22:28	23:00	23:15	0:32	0:15	1	0	DRC10	2.7	water control	
Ihyb	D	DH	2022-07-12	floral	718	718		8:37	9:08	9:23	0:31	0:15	1	0	DRC4	4.9	nitrogen	
Ihyb	D	DH	2022-07-12	floral	721	721		8:39	9:09	9:26	0:30	0:17	1	0	DRC5	4	water control	
Ihyb	D	DH	2022-07-12	floral	101	101		8:54	9:26	9:41	0:32	0:15	1	0	DRC4	4.5	ambient	
Ihyb	D	DH	2022-07-12	floral	731	731		8:57	9:30	9:45	0:33	0:15	1	0	DRC5	5.7	nitrogen	
Ihyb	D	DH	2022-07-12	floral	729	729		9:15	9:54	10:09	0:39	0:15	1	0	DRC4	4.8	nitrogen	
Ihyb	D	DH	2022-07-12	floral	701	701		9:17	9:50	10:05	0:33	0:15	1	0	DRC5	7.2	nitrogen	
Ihyb	D	DH	2022-07-12	floral	509	509		9:40	10:14	10:29	0:34	0:15	1	0	DRC5	8.9	ambient	
Ihyb	D	DH	2022-07-12	ambient	airDH			9:43	10:17	10:36	0:34	0:19			DRC4			
Ihyb	D	DH	2022-07-12	ambient	airDHB		B	10:29	10:59	11:14	0:30	0:15			DRC4			
Ihyb	D	DH	2022-07-12	ambient	airDHC		C	10:34	11:04	11:19	0:30	0:15			DRC5			
Ihyb	N	AA	2022-07-11	floral	715A	715	A	20:32	21:03	21:18	0:31	0:15	1	0	DRC7	3.4	nitrogen	
Ihyb	N	AA	2022-07-11	floral	726A	726	A	20:41	21:13	21:28	0:32	0:15	1	0	DRC1	4.1	nitrogen	
Ihyb	N	AA	2022-07-11	floral	713A	713	A	21:20	21:50	22:05	0:30	0:15	1	1	DRC1		water control	too rocky
Ihyb	N	AA	2022-07-11	floral	705A	705	A	21:35	22:10	22:25	0:35	0:15	1	0	DRC7	5.1	water control	
Ihyb	N	AA	2022-07-11	ambient	airAA			21:54	22:27	22:42	0:33	0:15			DRC1			
Ihyb	N	AA	2022-07-11	floral	719A	719	A	22:22	22:52	23:07	0:30	0:15	1	0	DRC7	5.4	nitrogen	
Ihyb	D	AA	2022-07-12	floral	503	503		8:32	9:02	9:17	0:30	0:15	1	0	DRC1	5.6	ambient	
Ihyb	D	AA	2022-07-12	floral	506	506		8:36	9:07	9:22	0:31	0:15	1	0	DRC7		ambient	too rocky
Ihyb	D	AA	2022-07-12	floral	737	737		8:50	9:20	9:35	0:30	0:15	1	0	DRC1	6.9	water control	
Ihyb	D	AA	2022-07-12	floral	726	726		8:56	9:26	9:41	0:30	0:15	1	0	DRC7	3.9	nitrogen	
Ihyb	D	AA	2022-07-12	floral	510	510		9:32	10:02	10:17	0:30	0:15	1	0	DRC1		ambient	too rocky
Ihyb	D	AA	2022-07-12	ambient	airAAA		A	9:54	10:24	10:39	0:30	0:15			DRC1			
Lagg	D	DH	2022-07-21	floral	588	588		9:47	10:17	10:32	0:30	0:15	1	0	DRC8	5.2	ambient	
Lagg	D	DH	2022-07-21	floral	590	590		9:44	10:14	10:29	0:30	0:15	1	0	DRC3	7.9	ambient	
Lagg	D	DH	2022-07-21	floral	589	589		10:08	10:38	10:53	0:30	0:15	1	0	CWu1	6.9	water control	
Lagg	D	DH	2022-07-21	floral	543	543		10:17	10:47	11:02	0:30	0:15	1	0	DRC3	7.7	nitrogen	
Lagg	D	DH	2022-07-21	floral	76	76		10:19	10:49	11:04	0:30	0:15	1	0	DRC8	5.2	ambient	
Lagg	D	DH	2022-07-21	floral	546	546		10:27	10:57	11:12	0:30	0:15	1	1	CWu1	6.5	ambient	
Lagg	D	DH	2022-07-21	floral	596	596		10:39	11:09	11:24	0:30	0:15	1	0	DRC3	5.4	water control	
Lagg	D	DH	2022-07-21	floral	550	550		10:41	11:11	11:26	0:30	0:15	1	0	DRC8	4.9	water control	
Lagg	D	DH	2022-07-21	floral	325	325		11:01	11:31	11:46	0:30	0:15	1	0	CWu1	6.1	ambient	
Lagg	D	DH	2022-07-21	floral	317	317		11:20	11:50	12:05	0:30	0:15	1	0	DRC3	6.4	ambient	
Lagg	D	DH	2022-07-21	floral	320	320		11:22	11:52	12:07	0:30	0:15	1	3	DRC8	6.4	ambient	
Lagg	D	DH	2022-07-21	ambient	airDH			11:33	12:03	12:18	0:30	0:15			CWu1			
Lagg	D	DH	2022-07-21	floral	584	584		12:07	12:39	12:54	0:32	0:15	1	0	DRC8	6.1	water control	
Lagg	D	DH	2022-07-21	floral	541	541		12:33	13:03	13:18	0:30	0:15	1	0	CWu1	6.9	water control	
