site	time	observer	date	type	vial	sample	plant	bag	pump	end	equil	pumping	flowers	buds	pump_id	VWC	notes
VF	D	JP	2023-07-21	floral	77	996	996	11:34	12:04	12:20	0:30	0:16	1	0	DRC9	2.2	
VF	D	JP	2023-07-21	floral	74	25	25	11:36	12:05	12:22	0:29	0:17	1	0	DRC7	2.7	
VF	D	JP	2023-07-21	floral	78	983	983	11:37	12:10	12:25	0:33	0:15	1	0	DRC1	2.9	
VF	D	JP	2023-07-21	floral	75	78	78	11:38	12:12	12:27	0:34	0:15	1	0	JMP1	5.6	
VF	D	JP	2023-07-21	floral	73	913	913	11:41	12:16	12:31	0:35	0:15	1	0	JMP2	4	
VF	D	JP	2023-07-21	floral	76	426	426	11:43	12:18	12:33	0:35	0:15	1	0	JMP3		rock
VF	D	JP	2023-07-21	floral	67	989	989	14:46	15:15	15:30	0:29	0:15	1	0	JMP1		stopped for lunch
VF	D	JP	2023-07-21	floral	68	3	3	14:52	15:22	15:37	0:30	0:15	1	0	JMP2		
VF	D	JP	2023-07-21	floral	69	50	50	14:54	15:24	15:42	0:30	0:18	1	0	JMP3		
VF	D	JP	2023-07-21	ambient	70	airJP1		14:55	15:27	15:54	0:32	0:27			DRC4		
VF	D	AA	2023-07-21	floral	64	92	92	11:37	12:07	12:22	0:30	0:15	1	3	CWu1	0.9	no flowers on 51, 71
VF	D	AA	2023-07-21	floral	63	974	974	11:39	12:09	12:28	0:30	0:19	1	0	DRC8		rocks
VF	D	AA	2023-07-21	floral	4	17	17	11:41	12:11	12:26	0:30	0:15	1	1	DRC10	2.7	
VF	D	AA	2023-07-21	floral	33	965	965	11:43	12:13	12:28	0:30	0:15	1	1	DRC3		rock
VF	D	AA	2023-07-21	floral	53	440	440	11:46	12:16	12:31	0:30	0:15			DRC4		not on map; fell out
VF	D	AA	2023-07-21	floral	120	959	959	11:52	12:22	12:37	0:30	0:15	1	0	CWu2	4.5	
VF	D	AA	2023-07-21	floral	VF45	255	255	11:56	12:26	12:42	0:30	0:16	1	0	DRC10	3.5	JP: duplicate vial numbers, diff dates - added VF
VF	D	AA	2023-07-21	floral	65	38	38	11:58	12:29	12:44	0:31	0:15	1	0	CWu1	2.2	
Lagg	D	TS	2023-07-20	floral	14	338	338	10:22	10:52	11:07	0:30	0:15	1	0	DRC8	6.2	observer: Trevor Sess
Lagg	D	TS	2023-07-20	floral	18	609	609	10:28	10:58	11:13	0:30	0:15	1	0	DRC1	4.1	
Lagg	D	TS	2023-07-20	floral	28	608	608	10:57	11:28	11:43	0:31	0:15	1	0	DRC1	1.5	
Lagg	D	TS	2023-07-20	floral	41	607	607	11:54	12:24	12:38	0:30	0:14	1	0	DRC1	4.6	
Lagg	D	TS	2023-07-20	floral	38	2167	2167	11:25	11:57	12:12	0:32	0:15	2	0	DRC1	3.6	
Lagg	D	TS	2023-07-20	ambient	40	airTS		11:34	12:05	12:20	0:31	0:15			CWu2		
Lagg	N	TS	2023-07-20	floral	2	2165	2165	20:13	20:47	21:02	0:34	0:15	1	0	DRC3		JP: need to copy VWC from D to N for 7-20
Lagg	N	TS	2023-07-20	floral	124	609	609	20:17	20:43	20:58	0:26	0:15	1	1	DRC8		
Lagg	N	TS	2023-07-20	floral	51	608	608	20:33	21:07	21:22	0:34	0:15	1	1	DRC3		
Lagg	N	TS	2023-07-20	floral	123	617	617	20:40	21:11	21:26	0:31	0:15	1	0	DRC8		
Lagg	N	TS	2023-07-20	ambient	127	airTS2		21:15	21:45	22:00	0:30	0:15			DRC8		
Lagg	N	TS	2023-07-20	floral	128	2167	2167	21:20	21:50	22:05	0:30	0:15	1	1	DRC3		
Lagg	N	TS	2023-07-20	floral	129	605	605	21:37	22:08	22:23	0:31	0:15	1	0	DRC8		
Lagg	D	AA	2023-07-20	floral	10	545	545	10:18	10:48	11:03	0:30	0:15	1	1	DRC7	1.9	
Lagg	D	AA	2023-07-20	floral	9	2126	2126	10:20	10:50	11:05	0:30	0:15	1	2	CWu1	3.4	
Lagg	D	AA	2023-07-20	floral	12	2160	2160	10:24	10:54	11:09	0:30	0:15	1	1	DRC4	1.1	
Lagg	D	AA	2023-07-20	floral	7	603	603	10:26	10:56	11:11	0:30	0:15	1	0	DRC10	1.9	
Lagg	D	AA	2023-07-20	floral	8	602	602	10:36	11:06	11:21	0:30	0:15	1	0	DRC7	4.6	
Lagg	D	AA	2023-07-20	ambient	3	airAA		10:37	11:07	11:22	0:30	0:15			CWu1		
Lagg	D	AA	2023-07-20	floral	5	611	611	10:42	11:13	11:29	0:31	0:16	1	0	DRC10	4.3	
Lagg	D	AA	2023-07-20	floral	6	2163	2163	10:45	11:15	11:30	0:30	0:15	1	2	DRC4	3.7	
Lagg	D	AA	2023-07-20	floral	11	2137	2137	11:01	11:31	11:46	0:30	0:15	1	3	DRC7	3.5	
Lagg	D	AA	2023-07-20	floral	31	2130	2130	11:19	11:49	12:04	0:30	0:15	1	1	CWu1	5.4	
Lagg	D	AA	2023-07-20	floral	35	2139	2139	11:20	11:50	12:05	0:30	0:15	1	0	DRC10	4	
Lagg	D	AA	2023-07-20	floral	32	2161	2161	11:26	11:56	12:11	0:30	0:15	1	0	DRC4	2.3	
Lagg	D	AA	2023-07-20	floral	1	2148	2148	11:38	12:08	12:23	0:30	0:15	1	2	DRC7	3	
Lagg	D	AA	2023-07-20	floral	36	547	547	11:40	12:10	12:25	0:30	0:15	1	0	CWu1	3	
Lagg	D	AA	2023-07-20	floral	37	580	580	11:45	12:15	12:30	0:30	0:15	1	2	DRC10	5.1	
Lagg	N	HH	2023-07-20	floral	89	2128	2128	20:22	20:52	21:07	0:30	0:15	1	1	DRC7		observer: Henry Hopp
Lagg	N	HH	2023-07-20	floral	87	2126	2126	20:48	21:18	21:33	0:30	0:15	1	3	DRC7		
Lagg	N	HH	2023-07-20	floral	88	545	545	21:13	21:44	21:59	0:31	0:15	1	2	DRC7		
Lagg	N	HH	2023-07-20	floral	86	2160	2160	21:37	22:07	22:22	0:30	0:15	1	0	DRC7		
Lagg	D	JP	2023-07-20	floral	19	2143	2143	10:18	10:58	11:17	0:40	0:19	1	0	JMP2	6.1	
Lagg	D	JP	2023-07-20	floral	30	583	583	10:19	11:02	11:17	0:43	0:15	1	0	JMP1	4.7	
Lagg	D	JP	2023-07-20	floral	29	573	573	10:20	11:06	11:21	0:46	0:15	1	0	JMP3	2.4	
Lagg	D	JP	2023-07-20	floral	103	567	567	11:11	11:41	11:56	0:30	0:15	1	0	JMP1	3.5	fell out, reinset 11:56, fell out again
Lagg	D	JP	2023-07-20	floral	104	579	579	11:14	11:44	11:59	0:30	0:15	1	0	JMP3	4.5	
Lagg	D	JP	2023-07-20	floral	101	2111	2111	11:16	11:48	12:03	0:32	0:15	1	0	JMP2	5.1	
Lagg	D	JP	2023-07-20	floral	105	2099	2099	11:32	12:12	12:30	0:40	0:18	1	0	JMP1	2.7	fell out ~3 min
Lagg	D	JP	2023-07-20	floral	102	559	559	11:34	12:14	12:30	0:40	0:16	1	0	JMP2	4.3	
Lagg	D	JP	2023-07-20	floral	20	558	558	11:36	12:17	12:32	0:41	0:15	1	0	JMP3	4.4	
Lagg	D	JP	2023-07-20	ambient	106	airJP1		11:53	12:38	12:53	0:45	0:15			JMP1		JP: no vial number, guessing 106
Lagg	N	JP	2023-07-20	floral	107	2099	2099	20:08	20:58	21:14	0:50	0:16	1	0	JMP1		>5 hawkmoths, and rufous hummingbirds visiting Lagg stie 20:30-20:50
Lagg	N	JP	2023-07-20	floral	110	559	559	20:10	20:56	21:13	0:46	0:17	1	0	JMP2		
Lagg	N	JP	2023-07-20	floral	112	558	558	20:11	21:00	21:15	0:49	0:15	1	0	JMP3		
Lagg	N	JP	2023-07-20	floral	111	2184	2184	20:42	21:20	21:39	0:38	0:19	1	0	JMP1		
Lagg	N	JP	2023-07-20	floral	108	2148	2148	20:44	21:22	21:40	0:38	0:18	1	0	JMP2		
Lagg	N	JP	2023-07-20	floral	114	2138	2138	20:50	21:26	21:41	0:36	0:15	1	0	JMP2		
Lagg	N	JP	2023-07-20	floral	80	2112	2112	21:09	21:53	22:08	0:44	0:15	1	0	JMP1		
Lagg	N	JP	2023-07-20	floral	113	597	597	21:11	21:56	22:11	0:45	0:15	1	0	JMP2		
Lagg	N	JP	2023-07-20	ambient	109	airJP2		21:12	21:58	22:13	0:46	0:15			JMP3		
Lagg	N	JB	2023-07-20	floral	96	2150	2150	20:07	20:38	20:53	0:31	0:15	1	1	DRC10		2159 eaten
Lagg	N	JB	2023-07-20	floral	97	573	573	20:08	20:39	20:54	0:31	0:15	1	0	DRC1		
Lagg	N	JB	2023-07-20	floral	99	572	572	20:09	20:40	20:55	0:31	0:15	1	0	DRC5		
Lagg	N	JB	2023-07-20	floral	95	567	567	20:30	21:02	21:17	0:32	0:15	1	0	DRC10		
Lagg	N	JB	2023-07-20	floral	91	579	579	20:32	21:03	21:18	0:31	0:15	1	0	DRC1		
Lagg	N	JB	2023-07-20	floral	93	2111	2111	20:35	21:05	21:20	0:30	0:15	1	1	DRC5		
Lagg	N	JB	2023-07-20	floral	98	2143	2143	20:50	21:24	21:39	0:34	0:15	1	1	DRC10		
Lagg	N	JB	2023-07-20	floral	92	571	571	20:51	21:25	21:40	0:34	0:15	1	1	DRC1		
Lagg	N	JB	2023-07-20	floral	100	583	583	20:52	21:27	21:42	0:35	0:15	1	1	DRC5		
Lagg	N	JB	2023-07-20	ambient	94	airJB		21:06	21:40	21:55	0:34	0:15			DRC10		
Lagg	N	LH	2023-07-20	floral	83	339	339	20:23	20:53	21:08	0:30	0:15	1	1	DRC4		observer: Lauren Hopp
Lagg	N	LH	2023-07-20	floral	85	602	602	21:16	21:46	22:01	0:30	0:15	1	1	DRC4		
Lagg	N	LH	2023-07-20	floral	84	318	318	21:37	22:07	22:22	0:30	0:15	1	2	DRC4		
Lagg	D	DH	2023-07-20	floral	16	2166	2166	10:25	10:55	11:10	0:30	0:15	1	0	CWu2	4	pump recalibrated after this sample
Lagg	D	DH	2023-07-20	floral	15	2165	2165	10:26	10:56	11:11	0:30	0:15	1	0	DRC3	5.1	
Lagg	D	DH	2023-07-20	floral	17	2110	2110	10:28	10:58	11:13	0:30	0:15	1	3	DRC5	3.2	
Lagg	D	DH	2023-07-20	floral	13	2140	2140	10:30	11:00	11:15	0:30	0:15	1	1	DRC9	4.2	
Lagg	D	DH	2023-07-20	floral	26	2128	2128	10:45	11:16	11:31	0:31	0:15	1	0	DRC3	5.1	
Lagg	D	DH	2023-07-20	floral	27	2149	2149	10:48	11:20	11:35	0:32	0:15	1	0	DRC5	4.4	
Lagg	D	DH	2023-07-20	floral	21	597	597	11:03	11:33	11:48	0:30	0:15	1	0	CWu2	4.9	
Lagg	D	DH	2023-07-20	floral	22	2192	2192	11:05	11:35	11:50	0:30	0:15	1	3	DRC3	4.8	
Lagg	D	DH	2023-07-20	floral	23	2164	2164	11:07	11:38	11:53	0:31	0:15	1	2	DRC9	4.8	
Lagg	D	DH	2023-07-20	floral	25	2138	2138	11:09	11:42	11:57	0:33	0:15	1	2	DRC5	5.4	
Lagg	D	DH	2023-07-20	ambient	43	airDH		11:43	12:20	12:35	0:37	0:15			DRC9		
Lagg	D	DH	2023-07-20	floral	42	605	605	11:55	12:25	12:40	0:30	0:15	1	0	DRC3	3.4	pump breifly fell out at beginning
Lagg	D	DH	2023-07-20	floral	Lagg45	2114	2114	12:18	12:48	13:05	0:30	0:17	1	0	DRC5	2.2	JP: duplicate vial numbers, diff dates, added Lagg
Lagg	D	DH	2023-07-20	floral	44	2142	2142	12:22	12:52	13:07	0:30	0:15	1	3	DRC9		rocky; failure, line crossed out
Lagg	D	DH	2023-07-20	floral		2142B	2142	12:22	13:10	13:25	0:48	0:15	1	3	DRC9		rocky; failure again, same bag and flower as last one; JP: no filled in bag time; JP: vial 36, removed from this row since duplicate with AA; added B
Lagg	N	DH	2023-07-20	floral	131	2114	2114	20:14	20:44	20:59	0:30	0:15	1	0	CWu1		
Lagg	N	DH	2023-07-20	floral	122	2166	2166	20:17	20:47	21:02	0:30	0:15	1	0	CWu2		
Lagg	N	DH	2023-07-20	floral	61	2161	2161	20:19	20:51	21:06	0:32	0:15	1	1	DRC9		
