year_run	index.x	batch	Desorb.Start.Time	sample	verdict	samplename	format	file1	file2	file3	file4	file5	file6	file7	site	type	vial.x	time	date_text	date	rundate	gc_n	split_notes	year	files	metafile	filename	plant	bag	pump	end	equil	pumping	flowers	buds	pump_id	notes	index.y	observer	tag	VWC	per	biomass_g	row	vial.y	replicate	treatment	taxon	taxontime	field	match
2021	829	Ihyb_VF_210716.txt	2021-07-17T10:40:44Z	12_398_Ihyb_200715_7162021_22.qgd	skip-rename	14_396_Ihyb_200715_7162021_23	underscores	14	396	Ihyb	200715	7162021	23	NA	Ihyb	floral	14	N	200715	2020-07-15	2021-07-16	23	add N	2020	1	4	NA	396	21:14:00	21:46:00	22:01:00	00:32:00	00:15:00	1	0	NA	NA	NA	JP	NA	NA	NA	NA	NA	14	NA	NA	hyb	hybN	1	TRUE
2021	752	maxfield210714.txt	2021-07-15T00:42:30Z	12_398_Ihyb_200721_7142021_17.qgd	NA	12_398_Ihyb_200721_7142021_17	underscores	12	398	Ihyb	200721	7142021	17	NA	Ihyb	floral	12	D	200721	2020-07-21	2021-07-14	17	add D	2020	1	4	NA	398	12:24:00	12:54:00	13:09:00	00:30:00	00:15:00	1	0	NA	NA	NA	JP	NA	NA	NA	NA	NA	12	NA	NA	hyb	hybD	1	TRUE
2021	827	Ihyb_VF_210716.txt	2021-07-17T09:39:25Z	13_397_Ihyb_200715_7162021_20.qgd	skip-rename	7_2228_Ihyb_200715_7162021_21	underscores	7	2228	Ihyb	200715	7162021	21	NA	Ihyb	floral	7	N	200715	2020-07-15	2021-07-16	21	add N	2020	1	4	NA	2228	20:51:00	21:31:00	21:46:00	00:40:00	00:15:00	1	0	NA	JP: no VWC for JP on sheet (Diane's photo), not sure where rocky (above) got entered from	NA	JP	NA	NA	NA	NA	NA	7	NA	NA	hyb	hybN	1	TRUE
2021	830	Ihyb_VF_210716.txt	2021-07-17T11:12:15Z	14_396_Ihyb_200715_7162021_23.qgd	skip-rename	16_394_Ihyb_200715_7162021_24	underscores	16	394	Ihyb	200715	7162021	24	NA	Ihyb	floral	16	N	200715	2020-07-15	2021-07-16	24	add N	2020	1	4	NA	394	21:16:00	21:48:00	22:03:00	00:32:00	00:15:00	1	0	NA	NA	NA	JP	NA	NA	NA	NA	NA	16	NA	NA	hyb	hybN	1	TRUE
2021	749	maxfield210714.txt	2021-07-14T23:09:59Z	14_396_Ihyb_200721_7142021_14.qgd	NA	14_396_Ihyb_200721_7142021_14	underscores	14	396	Ihyb	200721	7142021	14	NA	Ihyb	floral	14	D	200721	2020-07-21	2021-07-14	14	add D	2020	1	4	NA	396	11:38:00	12:08:00	12:23:00	00:30:00	00:15:00	1	0	9	NA	NA	JP	NA	NA	NA	NA	NA	14	NA	NA	hyb	hybD	1	TRUE
2021	747	maxfield210714.txt	2021-07-14T22:08:08Z	15_395_Ihyb_200721_7142021_12.qgd	NA	15_395_Ihyb_200721_7142021_12	underscores	15	395	Ihyb	200721	7142021	12	NA	Ihyb	floral	15	D	200721	2020-07-21	2021-07-14	12	add D	2020	1	4	NA	395	11:30:00	12:02:00	12:17:00	00:32:00	00:15:00	1	0	5	NA	NA	JP	NA	NA	NA	NA	NA	15	NA	NA	hyb	hybD	1	TRUE
2021	831	Ihyb_VF_210716.txt	2021-07-17T11:42:41Z	16_394_Ihyb_200715_7162021_24.qgd	skip-rename	15_395_Ihyb_200715_7162021_25	underscores	15	395	Ihyb	200715	7162021	25	NA	Ihyb	floral	15	N	200715	2020-07-15	2021-07-16	25	add N	2020	1	4	NA	395	21:19:00	21:54:00	22:09:00	00:35:00	00:15:00	1	0	NA	pump died	NA	JP	NA	NA	NA	NA	NA	15	NA	NA	hyb	hybN	1	TRUE
2021	751	maxfield210714.txt	2021-07-15T00:11:40Z	18_392_Ihyb_200721_7142021_16.qgd	NA	18_392_Ihyb_200721_7142021_16	underscores	18	392	Ihyb	200721	7142021	16	NA	Ihyb	floral	18	D	200721	2020-07-21	2021-07-14	16	add D	2020	1	4	NA	392	12:16:00	12:46:00	13:01:00	00:30:00	00:15:00	1	0	NA	NA	NA	JP	NA	NA	NA	NA	NA	18	NA	NA	hyb	hybD	1	TRUE
2021	739	maxfield210714.txt	2021-07-14T18:01:34Z	20_390_Ihyb_200716_7142021_04.qgd	NA	20_390_Ihyb_200716_7142021_04	underscores	20	390	Ihyb	200716	7142021	4	NA	Ihyb	floral	20	N	200716	2020-07-15	2021-07-14	4	change 07-16>07-15, add N	2020	1	4	NA	390	20:10:00	20:40:00	20:55:00	00:30:00	00:15:00	1	0	5	NA	NA	ST	NA	1.6	NA	NA	NA	20	NA	NA	hyb	hybN	1	TRUE
2021	740	maxfield210714.txt	2021-07-14T18:32:19Z	21_389_Ihyb_200716_7142021_05.qgd	NA	21_389_Ihyb_200716_7142021_05	underscores	21	389	Ihyb	200716	7142021	5	NA	Ihyb	floral	21	N	200716	2020-07-15	2021-07-14	5	change 07-16>07-15, add N	2020	1	4	NA	389	20:44:00	21:14:00	21:29:00	00:30:00	00:15:00	1	0	9	NA	NA	ST	NA	4.1	NA	NA	NA	21	NA	NA	hyb	hybN	1	TRUE
2021	774	maxfield210715.txt	2021-07-16T02:04:22Z	2200_Ihyb_nodate_7152021_04.qgd	NA	2200_Ihyb_nodate_7152021_04	underscores	2200	Ihyb	nodate	7152021	4	NA	NA	Ihyb	floral	NA	D	nodate	2020-07-21	2021-07-15	4	guessed date based on metadata, could be 7/15 too	2020	1	4	NA	2200	11:35:00	12:05:00	12:20:00	00:30:00	00:15:00	1	0	10	NA	NA	XL	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
2021	784	maxfield210715.txt	2021-07-16T07:21:21Z	2282_Ihyb_200721_7152021_14.qgd	NA	2282_Ihyb_200721_7152021_14	underscores	2282	Ihyb	200721	7152021	14	NA	NA	Ihyb	floral	NA	D	200721	2020-07-21	2021-07-15	14	add D	2020	1	4	NA	2282	13:00:00	13:30:00	13:45:00	00:30:00	00:15:00	1	1	3	NA	NA	ST	NA	NA	NA	NA	NA	3	NA	NA	hyb	hybD	1	TRUE
2021	785	maxfield210715.txt	2021-07-16T07:52:20Z	2283_Ihyb_200721_7152021_15.qgd	NA	2283_Ihyb_200721_7152021_15	underscores	2283	Ihyb	200721	7152021	15	NA	NA	Ihyb	floral	NA	D	200721	2020-07-21	2021-07-15	15	add D	2020	1	4	NA	2283	12:55:00	13:25:00	13:40:00	00:30:00	00:15:00	1	0	1	NA	NA	ST	NA	NA	NA	NA	NA	4	NA	NA	hyb	hybD	1	TRUE
2021	741	maxfield210714.txt	2021-07-14T19:03:08Z	23_387_Ihyb_200716_7142021_06.qgd	NA	23_387_Ihyb_200716_7142021_06	underscores	23	387	Ihyb	200716	7142021	6	NA	Ihyb	floral	23	N	200716	2020-07-15	2021-07-14	6	change 07-16>07-15, add N	2020	1	4	NA	387	20:46:00	21:16:00	21:31:00	00:30:00	00:15:00	1	0	7	NA	NA	ST	NA	2.7	NA	NA	NA	23	NA	NA	hyb	hybN	1	TRUE
2021	777	maxfield210715.txt	2021-07-16T03:41:34Z	25_385_Ihyb_200721_7152021_07.qgd	NA	25_385_Ihyb_200721_7152021_07	underscores	25	385	Ihyb	200721	7152021	7	NA	Ihyb	floral	25	D	200721	2020-07-21	2021-07-15	7	add D	2020	1	4	NA	385	11:37:00	12:07:00	12:22:00	00:30:00	00:15:00	1	0	8	NA	NA	ST	NA	NA	NA	NA	NA	25	NA	NA	hyb	hybD	1	TRUE
2021	824	Ihyb_VF_210716.txt	2021-07-17T08:07:00Z	25_line_Ihyb_200715_7162021_17.qgd	skip-rename	26_384_Ihyb_200715_7162021_18	underscores	26	384	Ihyb	200715	7162021	18	NA	Ihyb	floral	26	N	200715	2020-07-15	2021-07-16	18	add N	2020	1	4	NA	384	20:06:00	20:40:00	20:55:00	00:34:00	00:15:00	1	0	8	rocky	NA	JP	NA	NA	NA	NA	NA	26	NA	NA	hyb	hybN	1	TRUE
2021	825	Ihyb_VF_210716.txt	2021-07-17T08:37:52Z	26_384_Ihyb_200715_7162021_18.qgd	skip-rename	line_2217_Ihyb_200715_7162021_19	underscores	line	2217	Ihyb	200715	7162021	19	NA	Ihyb	floral	NA	N	200715	2020-07-15	2021-07-16	19	add N	2020	1	4	NA	2217	20:07:00	20:43:00	20:58:00	00:36:00	00:15:00	1	0	1	rocky	NA	JP	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybN	1	TRUE
2021	737	maxfield210714.txt	2021-07-14T17:00:32Z	27_383_Ihyb_200716_7142021_02.qgd	NA	27_383_Ihyb_200716_7142021_02	underscores	27	383	Ihyb	200716	7142021	2	NA	Ihyb	floral	27	N	200716	2020-07-15	2021-07-14	2	change 07-16>07-15, add N	2020	1	4	NA	383	20:04:00	20:34:00	20:49:00	00:30:00	00:15:00	1	0	9	NA	NA	ST	NA	1.6	NA	NA	NA	27	NA	NA	hyb	hybN	1	TRUE
2021	776	maxfield210715.txt	2021-07-16T03:09:24Z	27_383_Ihyb_200721_7152021_06.qgd	NA	27_383_Ihyb_200721_7152021_06	underscores	27	383	Ihyb	200721	7152021	6	NA	Ihyb	floral	27	D	200721	2020-07-21	2021-07-15	6	add D	2020	1	4	NA	383	11:34:00	12:04:00	12:19:00	00:30:00	00:15:00	1	0	3	NA	NA	ST	NA	NA	NA	NA	NA	27	NA	NA	hyb	hybD	1	TRUE
2021	738	maxfield210714.txt	2021-07-14T17:30:58Z	28_382_Ihyb_200716_7142021_03.qgd	NA	28_382_Ihyb_200716_7142021_03	underscores	28	382	Ihyb	200716	7142021	3	NA	Ihyb	floral	28	N	200716	2020-07-15	2021-07-14	3	change 07-16>07-15, add N	2020	1	4	NA	382	20:06:00	20:36:00	20:51:00	00:30:00	00:15:00	1	0	7	NA	NA	ST	NA	2	NA	NA	NA	28	NA	NA	hyb	hybN	1	TRUE
2021	775	maxfield210715.txt	2021-07-16T02:37:00Z	28_382_Ihyb_200721_7152021_05.qgd	NA	28_382_Ihyb_200721_7152021_05	underscores	28	382	Ihyb	200721	7152021	5	NA	Ihyb	floral	28	D	200721	2020-07-21	2021-07-15	5	add D	2020	1	4	NA	382	11:31:00	12:01:00	12:16:00	00:30:00	00:15:00	1	0	1	NA	NA	ST	NA	NA	NA	NA	NA	28	NA	NA	hyb	hybD	1	TRUE
2021	772	maxfield210715.txt	2021-07-16T00:59:01Z	3015_Ihyb_nodate_7152021_02.qgd	NA	3015_Ihyb_nodate_7152021_02	underscores	3015	Ihyb	nodate	7152021	2	NA	NA	Ihyb	floral	NA	D	nodate	2020-07-21	2021-07-15	2	sample 3015>305, guessed date based on metadata, could be 7/15 too	2020	1	4	NA	305	11:38:00	12:08:00	12:33:00	00:30:00	00:25:00	1	0	6	NA	NA	XL	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
2021	778	maxfield210715.txt	2021-07-16T04:13:27Z	384_Ihyb_Ihyb_200721_7152021_08.qgd	NA	384_Ihyb_Ihyb_200721_7152021_08	underscores	384	Ihyb	Ihyb	200721	7152021	8	NA	Ihyb	floral	NA	D	200721	2020-07-21	2021-07-15	8	add D	2020	1	4	NA	384	11:54:00	12:24:00	12:39:00	00:30:00	00:15:00	1	0	1	NA	NA	ST	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
2021	779	maxfield210715.txt	2021-07-16T04:45:07Z	387_Ihyb_200721_7152021_09.qgd	NA	387_Ihyb_200721_7152021_09	underscores	387	Ihyb	200721	7152021	9	NA	NA	Ihyb	floral	NA	D	200721	2020-07-21	2021-07-15	9	add D	2020	1	4	NA	387	11:58:00	12:28:00	12:43:00	00:30:00	00:15:00	1	0	3	NA	NA	ST	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
2021	781	maxfield210715.txt	2021-07-16T05:48:53Z	389_Ihyb_200721_7152021_11.qgd	NA	389_Ihyb_200721_7152021_11	underscores	389	Ihyb	200721	7152021	11	NA	NA	Ihyb	floral	NA	D	200721	2020-07-21	2021-07-15	11	add D	2020	1	4	NA	389	12:14:00	12:44:00	12:59:00	00:30:00	00:15:00	1	0	1	NA	NA	ST	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
2021	783	maxfield210715.txt	2021-07-16T06:50:32Z	399_Ihyb_200721_7152021_13.qgd	NA	399_Ihyb_200721_7152021_13	underscores	399	Ihyb	200721	7152021	13	NA	NA	Ihyb	floral	NA	D	200721	2020-07-21	2021-07-15	13	add D	2020	1	4	NA	399	12:20:00	12:50:00	13:05:00	00:30:00	00:15:00	1	0	8	NA	NA	ST	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
2021	773	maxfield210715.txt	2021-07-16T01:31:22Z	400_Ihyb_nodate_7152021_03.qgd	NA	400_Ihyb_nodate_7152021_03	underscores	400	Ihyb	nodate	7152021	3	NA	NA	Ihyb	floral	NA	D	nodate	2020-07-21	2021-07-15	3	guessed date based on metadata, could be 7/15 too	2020	1	4	NA	400	12:12:00	12:42:00	12:57:00	00:30:00	00:15:00	1	0	6	NA	NA	XL	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
