FileName	(E)-hex-2-enal	a-pinene	b-myrcene	(Z)-b-ocimene	(E)-b-ocimene	linalool	a-copaene	petasitene	b-caryophyllene	(E)-b-bergamotene	a-farnesene	(Z)-hex-3-en-1-ol	[(Z)-hex-3-enyl] butanoate	a-terpineol	cosmene	(4E,6Z)-alloocimene	verbenone	3-ethenyl-1,2-dimethylcyclohexa-1,4-diene	geranial
12_398_Ihyb_200715_7162021_22.qgd	0	109998	0	227419	1891921	0	0	0	0	122355	33543	0	0	18486	61012	24573	10708	0	0
12_398_Ihyb_200721_7142021_17.qgd	21313	52528	0	160090	0	0	1291	0	0	31837	0	0	0	4989	0	0	3183	11503	0
13_397_Ihyb_200715_7162021_20.qgd	0	630847	63365	94573	1171490	13846	5257	0	37365	41362	953617	54295	10760	0	34394	17235	5151	8904	0
14_396_Ihyb_200715_7162021_23.qgd	0	208590	0	65465	737764	0	3389	0	5140	57478	71862	0	0	11455	20922	10328	7325	0	0
14_396_Ihyb_200721_7142021_14.qgd	1289	375170	0	1413	1140	0	1192	0	4629	1550	0	5699	992	0	0	0	4092	0	0
15_395_Ihyb_200721_7142021_12.qgd	0	118115	0	208552	0	0	2486	0	0	37869	0	33506	0	6556	0	349	6843	10807	0
16_394_Ihyb_200715_7162021_24.qgd	0	68841	0	134571	1227992	0	1582	0	0	16715	23954	0	14762	4098	28565	27800	3819	0	0
18_392_Ihyb_200721_7142021_16.qgd	0	237390	0	245060	7254	0	7988	0	0	21080	0	102775	0	8703	0	1070	7742	0	0
20_390_Ihyb_200716_7142021_04.qgd	0	161671	0	57828	486038	0	1955	0	0	57005	678205	0	24213	4785	19420	10438	6478	0	0
21_389_Ihyb_200716_7142021_05.qgd	3613	220502	0	53664	668542	0	2579	0	19117	12609	98900	2389	0	0	5892	2231	1617	0	0
2200_Ihyb_nodate_7152021_04.qgd	0	118058	0	286642	0	0	2919	0	3499	35645	0	0	0	6907	0	0	6849	0	0
2282_Ihyb_200721_7152021_14.qgd	6716	50618	0	2559	3821	0	6568	0	20167	6725	0	4060	0	5413	0	242	1366	0	0
2283_Ihyb_200721_7152021_15.qgd	0	47082	0	17635	0	0	494	0	0	6585	0	67689	4923	4260	0	0	1889	0	0
23_387_Ihyb_200716_7142021_06.qgd	3157	1251812	0	22429	240807	0	502	0	131047	18383	291051	12187	0	0	4023	1002	7942	1584	0
25_385_Ihyb_200721_7152021_07.qgd	0	131900	0	632	1106	0	1059	0	9809	0	0	7363	0	0	0	0	0	233	0
25_line_Ihyb_200715_7162021_17.qgd	0	2038852	0	63208	795998	0	2445	0	53895	3620	46773	0	0	0	5553	10023	0	3199	0
26_384_Ihyb_200715_7162021_18.qgd	29686	103664	32564	43002	419745	0	623	0	7950	25343	90828	0	0	0	6550	6501	1340	4759	6939
27_383_Ihyb_200716_7142021_02.qgd	20271	113212	0	474148	10929	0	1891	0	0	28377	8921	0	0	9968	0	0	9855	13906	0
27_383_Ihyb_200721_7152021_06.qgd	0	11132	0	9183	1472	0	854	814	1530	3406	0	72739	0	0	0	0	0	0	0
28_382_Ihyb_200716_7142021_03.qgd	34928	1140344	50115	70199	809878	0	3199	0	1575	16209	184201	4944	6191	0	5626	11143	4400	4505	0
28_382_Ihyb_200721_7152021_05.qgd	0	156883	0	3015	2129	0	11737	0	107536	9448	5146	71724	7348	7865	0	316	0	0	0
3015_Ihyb_nodate_7152021_02.qgd	24177	43891	0	171245	11636	0	5366	667	22038	37539	0	310604	7051	8418	0	0	4429	9729	0
384_Ihyb_Ihyb_200721_7152021_08.qgd	0	11537	0	3530	1005	0	0	0	0	2689	0	0	0	0	0	0	0	0	0
387_Ihyb_200721_7152021_09.qgd	0	33317	0	5543	1474	0	0	0	26440	4033	0	20856	0	0	0	0	0	0	0
389_Ihyb_200721_7152021_11.qgd	0	68918	0	20411	2169	0	10498	0	83795	3242	0	59440	0	2954	0	0	753	0	0
399_Ihyb_200721_7152021_13.qgd	0	144865	0	384774	0	0	2621	0	2123	24541	0	16113	0	9622	0	1043	10986	21896	0
400_Ihyb_nodate_7152021_03.qgd	51090	192669	0	205136	12654	0	19448	0	450689	23685	0	893799	101088	35792	0	2645	7819	0	0
5_line__Ihyb_200716_7142021_07.qgd	20246	106993	0	87124	802616	0	2128	0	0	40363	0	0	0	9549	20651	13724	9550	0	0
6_2245_Ihyb_200721_7142021_13.qgd	0	253526	0	160109	0	0	1882	0	0	22922	0	0	8417	4249	0	877	5667	9897	0
6_line_Ihyb_200716_7142021_08.qgd	18774	239377	0	37891	231612	0	1692	0	0	64310	180954	0	0	7645	11078	4267	6188	0	0
7_2228_Ihyb_200715_7162021_21.qgd	0	75629	0	187426	26524	0	4751	0	0	57714	79668	0	0	7180	0	648	3425	11301	0
7_228_Ihyb_200721_7152021_12.qgd	0	13261	0	2354	4758	0	503	0	2596	20731	0	5883	0	0	0	283	0	0	0
8_2294_Ihyb_200721_7142021_15.qgd	0	115196	0	389789	0	0	2572	0	0	40194	0	0	0	9272	0	0	8641	24949	0
air_JP_Ihyb_200715_7162021_26.qgd	0	176606	0	506825	0	0	0	0	0	54544	0	0	0	12060	0	1008	9074	30875	0
I10DAug2_08052019.qgd	22467	198861	8923	26284	0	0	5166	0	39096	6338	34095	110723	0	0	0	605	1121	0	0
I10DJul24_08262017.qgd	0	83116	0	3113	5543	0	0	0	2856	15463	145266	51844	0	3220	0	709	0	0	0
I10NAug108262017.qgd	0	1496132	189737	388410	4601208	22881	1756	0	52857	56244	907295	37742	5397	2297	20014	57681	941	16941	0
I10NAug12_08152019.qgd	0	78956	15858	29242	351495	7853	0	414	1523	11954	0	0	0	0	1634	3582	0	1636	0
I11DJul24_08262017.qgd	0	102795	141214	161025	0	0	78108	0	23794	47874	56057	0	0	30595	0	1538	0	25771	9676
I11NAug1_08262017.qgd	13139	283617	225118	515088	5466324	0	4738	4028	8120	171590	3921689	1528	0	3142	22253	72985	0	16284	11746
I11NAug12_08152019.qgd	0	1875783	50325	47114	600338	3504	8247	0	21058	9045	129863	5828	0	0	2042	7225	518	2450	0
