year_run,index,batch,Desorb.Start.Time,FileName,verdict,sample,file1,file2,file3,file4,file5,file6,file7,site,type,time,date_text,date,rundate,gc_n
2017,61,,2017-07-12T17:44:36Z,VF1D07102017_07122017.qgd,,VF1D07102017_07122017,VF1D07102017,07122017,,,,,,VF,sample,,0710201,,,17
2017,62,,2017-07-12T18:16:27Z,VF207102017_07122017.qgd,,VF207102017_07122017,VF207102017,07122017,,,,,,VF,sample,,0710201,,,17
2017,63,,2017-07-12T19:53:23Z,,skip-notrun,,,,,,,,,,,,,,,
2017,69,,2017-07-13T00:01:58Z,,,,,,,,,,,,,,,,,
2017,75,,2017-07-13T16:19:11Z,,,VF4D07102017_07132017,VF4D07102017,07132017,,,,,,VF,sample,,0710201,,,17
2017,76,,2017-07-13T17:06:12Z,VF5D07102017_07132017.qgd,,VF5D07102017_07132017,VF5D07102017,07132017,,,,,,VF,sample,,0710201,,,17
2017,77,,2017-07-13T17:37:55Z,VF6D07102017_07132017.qgd,,VF6D07102017_07132017,VF6D07102017,07132017,,,,,,VF,sample,,0710201,,,17
2017,78,,2017-07-13T18:09:47Z,VFAIR07102017_07132017.qgd,,VFAIR07102017_07132017,VFAIR07102017,07132017,,,,,,VF,ambient,,0710201,,,17
2017,83,,2017-07-14T21:33:10Z,VF4D07142017_07142017.qgd,,VF4D07142017_07142017,VF4D07142017,07142017,,,,,,VF,sample,,0714201,,,17
2017,84,,2017-07-14T23:37:14Z,,skip-notrun,,,,,,,,,,,,,,,
2017,86,,2017-07-15T02:11:50Z,VF6D07142017_07142017.qgd,,VF6D07142017_07142017,VF6D07142017,07142017,,,,,,VF,sample,,0714201,,,17
2017,87,,2017-07-15T02:43:00Z,VF7D07102017_07142017.qgd,,VF7D07102017_07142017,VF7D07102017,07142017,,,,,,VF,sample,,0710201,,,17
2017,88,,2017-07-15T03:14:24Z,VF7D07142017_07142017.qgd,,VF7D07142017_07142017,VF7D07142017,07142017,,,,,,VF,sample,,0714201,,,17
2017,89,,2017-07-15T03:45:52Z,VF9D07102017_07142017.qgd,,VF9D07102017_07142017,VF9D07102017,07142017,,,,,,VF,sample,,0710201,,,17
2017,90,,2017-07-15T04:17:10Z,VF9D07142017_07140217.qgd,,VF9D07142017_07140217,VF9D07142017,07140217,,,,,,VF,sample,,0714201,,,17
2017,93,,2017-07-15T15:33:28Z,VF1D07142017_07152017.qgd,,VF1D07142017_07152017,VF1D07142017,07152017,,,,,,VF,sample,,0714201,,,17
2017,94,,2017-07-15T16:04:33Z,VF2D07142017_07152017.qgd,,VF2D07142017_07152017,VF2D07142017,07152017,,,,,,VF,sample,,0714201,,,17
2017,95,,2017-07-15T16:35:44Z,VF8D07102017_07152017.qgd,,VF8D07102017_07152017,VF8D07102017,07152017,,,,,,VF,sample,,0710201,,,17
2017,96,,2017-07-15T17:07:05Z,VF8D07142017_07152017.qgd,,VF8D07142017_07152017,VF8D07142017,07152017,,,,,,VF,sample,,0714201,,,17
2017,423,,2017-08-27T01:45:20Z,I3DJul24_08262017.qgd,,I3DJul24_08262017,I3DJul24,08262017,,,,,,I,sample,,I3DJul2,,,17
2017,424,,2017-08-27T02:15:47Z,I3NAug1_08262017.qgd,,I3NAug1_08262017,I3NAug1,08262017,,,,,,I,sample,,I3NAug,,,17
2017,425,,2017-08-27T02:47:59Z,I10DJul24_08262017.qgd,,I10DJul24_08262017,I10DJul24,08262017,,,,,,I,sample,,10DJul2,2010-07-02,,17
2017,426,,2017-08-27T03:20:51Z,I10NAug108262017.qgd,,I10NAug108262017,I10NAug108262017,,,,,,,I,sample,,I10NAu,,,17
2017,427,,2017-08-27T03:53:20Z,I11DJul24_08262017.qgd,,I11DJul24_08262017,I11DJul24,08262017,,,,,,I,sample,,11DJul2,2011-07-02,,17
2017,428,,2017-08-27T04:25:24Z,I11NAug1_08262017.qgd,,I11NAug1_08262017,I11NAug1,08262017,,,,,,I,sample,,I11NAug,,,17
2017,429,,2017-08-27T04:57:31Z,I12DJul24_08262017.qgd,,I12DJul24_08262017,I12DJul24,08262017,,,,,,I,sample,,12DJul2,2012-07-02,,17
2017,430,,2017-08-27T05:29:46Z,I12NAug1_08262017.qgd,,I12NAug1_08262017,I12NAug1,08262017,,,,,,I,sample,,I12NAug,,,17
2017,431,,2017-08-27T06:02:41Z,I17DJul244_08262017.qgd,,I17DJul244_08262017,I17DJul244,08262017,,,,,,I,sample,,7DJul24,2007-07-24,,17
2017,432,,2017-08-27T06:33:42Z,I15NAug1_08262017.qgd,,I15NAug1_08262017,I15NAug1,08262017,,,,,,I,sample,,I15NAug,,,17
2017,434,,2017-08-27T16:24:31Z,I2NAug1_08272017.qgd,,I2NAug1_08272017,I2NAug1,08272017,,,,,,I,sample,,I2NAug,,,17
2017,435,,2017-08-27T16:57:23Z,I4NAug1_08272017.qgd,,I4NAug1_08272017,I4NAug1,08272017,,,,,,I,sample,,I4NAug,,,17
2017,436,,2017-08-27T17:29:34Z,I6NAug1_08272017.qgd,,I6NAug1_08272017,I6NAug1,08272017,,,,,,I,sample,,I6NAug,,,17
